t_s,v_revs,decel_revs2,sin_angle,cos_angle
9.4,0.078125,-4.887700200129075e-05,-0.1694502912339723,0.9855387353121753
9.5,0.078125,-0.008089143831332043,-0.12088808723577632,0.9926661424489481
9.6,0.07819898200757791,-8.01775451956625e-06,-0.0720346532468834,0.9974021299012757
9.7,0.08049242424242209,-0.0162680239121471,-0.021474080275460924,0.9997694053512155
9.8,0.08064053317827558,-4.76837158203125e-05,0.02760965651396776,0.9996187807695395
9.9,0.08293368557175995,-0.024358361029660124,0.07968243797141565,0.9968202992911669
10.0,0.0830078125,-0.0081460385878529,0.13002813458933327,0.9915103046439901
10.1,0.08306896997119395,-0.024366378784179688,0.183039887955127,0.983105487431219
10.2,0.08782946752880605,-0.01629923785747186,0.23553305940495942,0.9718663374802833
10.3,0.087890625,-0.01630052919168179,0.2888164082060562,0.9573845007889739
10.4,0.09033203125,-0.016276041666666668,0.3426563809621169,0.9394608052419987
10.5,0.09283697760260168,-0.024438550025015125,0.39540147894780925,0.9185083943252152
10.6,0.09515130364739832,-0.03244637803542598,0.44824061228520423,0.8939129451452111
10.7,0.09775428884058357,-0.03263330110610715,0.5022124740457073,0.8647442575194644
10.8,0.10244102365941643,-0.0244140625,0.5555575038286396,0.8314781175350865
10.9,0.10262710541546483,-0.02449528027277381,0.6079497849677635,0.7939754775543449
11.0,0.1073338320845707,-0.032470865560559524,0.6589612929820322,0.7521768504490471
11.1,0.10992000317642692,-0.04069010416666667,0.7081906370331931,0.7060212614493421
11.2,0.11468937182357308,-0.04069010416666667,0.7562060014143914,0.6543336178318041
11.3,0.11727562881098663,-0.040673512890757976,0.8022927955381091,0.5969307080622054
11.4,0.12198218368901337,-0.024446642029000525,0.8448535652497116,0.5349976198870902
11.5,0.12456759172884802,-0.04067411591357484,0.884079797178923,0.46733597359937357
11.6,0.12943209776452136,-0.04067424072336697,0.9179019714893135,0.3968072211238494
11.7,0.13427024082343308,-0.04068997935687454,0.9475855910177371,0.31950203081602774
11.8,0.13426048783212963,-0.03255164773001695,0.971502440959462,0.2370295492334382
11.9,0.14160753907315637,-0.024446648741616173,0.9882575677307481,0.15279718525845223
12.0,0.1416002322061516,-0.024397900114792037,0.99792508687652,0.06438572033059686
