record,done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
D,27118489,1087,653,0,3531,419,0,0,0,0,0,01,0,0,0,0,27118602,811D002D,1048575,32688,00,03
D,27119343,854,653,0,3531,280,0,0,0,0,0,01,0,0,0,0,27119403,811D002D,1048575,33476,00,03
D,27120334,991,653,0,3531,274,0,0,0,0,0,01,0,0,0,0,27120397,811D002D,1048575,34471,00,03
D,27121333,999,653,0,3531,272,0,0,0,0,0,01,0,0,0,0,27121398,811D002D,1048575,35473,00,03
D,27122337,1004,653,0,3531,276,0,0,0,0,0,01,0,0,0,0,27122406,811D002D,1048575,36481,00,03
D,27123334,997,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27123393,811D002D,1048575,37466,00,03
D,27124327,993,653,0,3531,269,0,0,0,0,0,01,0,0,0,0,27124391,811D002D,1048575,38467,00,03
D,27125331,1004,653,0,3531,273,0,0,0,0,0,01,0,0,0,0,27125390,811D002D,1048575,39464,00,03
D,27126335,1004,653,0,3531,280,0,0,0,0,0,01,0,0,0,0,27126404,811D002D,1048575,40479,00,03
D,27127343,1008,653,0,3531,286,0,0,0,0,0,01,0,0,0,0,27127420,811D002D,1048575,41505,00,03
D,27128377,1034,653,0,3531,309,0,0,0,0,0,01,0,0,0,0,27128467,811D002D,1048575,42549,00,03
D,27129299,922,653,0,3531,243,0,0,0,0,0,01,0,0,0,0,27129338,811D002D,1048575,43406,00,03
D,27130314,1015,653,0,3531,245,0,0,0,0,0,01,0,0,0,0,27130356,811D002D,1048575,44424,00,03
D,27131296,982,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27131331,811D002D,1048575,45399,00,03
D,27132298,1002,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27132334,811D002D,1048575,46401,00,03
D,27133298,1000,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27133334,811D002D,1048575,47401,00,03
D,27134312,1014,653,0,3531,245,0,0,0,0,0,01,0,0,0,0,27134354,811D002D,1048575,48422,00,03
D,27135296,984,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27135331,811D002D,1048575,49399,00,03
D,27136322,1026,653,0,3531,264,0,0,0,0,0,01,0,0,0,0,27136400,811D002D,1048575,1,00,03
D,27137576,1254,653,0,3531,362,0,0,0,0,0,01,0,0,0,0,27137779,811D002D,1048575,719,00,03
D,27138474,898,653,0,3531,419,0,0,0,0,0,01,0,0,0,0,27138588,811D002D,1048575,1490,00,03
D,27139359,885,653,0,3531,290,0,0,0,0,0,01,0,0,0,0,27139426,811D002D,1048575,2319,00,03
D,27140328,969,653,0,3531,266,0,0,0,0,0,01,0,0,0,0,27140391,811D002D,1048575,3286,00,03
D,27141329,1001,653,0,3531,274,0,0,0,0,0,01,0,0,0,0,27141389,811D002D,1048575,4282,00,03
D,27142336,1007,653,0,3531,273,0,0,0,0,0,01,0,0,0,0,27142404,811D002D,1048575,5300,00,03
D,27143344,1008,653,0,3531,274,0,0,0,0,0,01,0,0,0,0,27143404,811D002D,1048575,6295,00,03
D,27144324,980,653,0,3531,268,0,0,0,0,0,01,0,0,0,0,27144390,811D002D,1048575,7287,00,03
D,27145336,1012,653,0,3531,276,0,0,0,0,0,01,0,0,0,0,27145395,811D002D,1048575,8286,00,03
D,27146345,1009,653,0,3531,275,0,0,0,0,0,01,0,0,0,0,27146418,811D002D,1048575,9312,00,03
D,27147357,1012,653,0,3531,288,0,0,0,0,0,01,0,0,0,0,27147439,811D002D,1048575,10345,00,03
D,27148365,1008,653,0,3531,306,0,0,0,0,0,01,0,0,0,0,27148455,811D002D,1048575,11357,00,03
D,27149314,949,653,0,3531,247,0,0,0,0,0,01,0,0,0,0,27149350,811D002D,1048575,12236,00,03
D,27150313,999,653,0,3531,248,0,0,0,0,0,01,0,0,0,0,27150356,811D002D,1048575,13243,00,03
D,27151296,983,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27151330,811D002D,1048575,14216,00,03
D,27152296,1000,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27152330,811D002D,1048575,15217,00,03
D,27153298,1002,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27153333,811D002D,1048575,16219,00,03
D,27154311,1013,653,0,3531,245,0,0,0,0,0,01,0,0,0,0,27154353,811D002D,1048575,17240,00,03
D,27155308,997,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27155342,811D002D,1048575,18229,00,03
D,27156315,1007,653,0,3531,257,0,0,0,0,0,01,0,0,0,0,27156392,811D002D,1048575,19286,00,03
D,27157415,1100,653,0,3531,347,0,0,0,0,0,01,0,0,0,0,27157594,811D002D,1048575,20518,00,03
D,27158479,1064,653,0,3531,424,0,0,0,0,0,01,0,0,0,0,27158594,811D002D,1048575,21502,00,03
D,27159351,872,653,0,3531,286,0,0,0,0,0,01,0,0,0,0,27159407,811D002D,1048575,22300,00,03
D,27160323,972,653,0,3531,264,0,0,0,0,0,01,0,0,0,0,27160385,811D002D,1048575,23282,00,03
D,27161349,1026,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27161404,811D002D,1048575,24297,00,03
D,27162331,982,653,0,3531,266,0,0,0,0,0,01,0,0,0,0,27162402,811D002D,1048575,25298,00,03
D,27163333,1002,653,0,3531,278,0,0,0,0,0,01,0,0,0,0,27163389,811D002D,1048575,26282,00,03
